There	EX	there
's	VHZ	have
been	VBN	be
much	RB	much
said	VVN	say
about	IN	about
the	DT	the
differences	NNS	difference
between	IN	between
the	DT	the
people	NNS	people
who	WP	who
voted	VVD	vote
forRepublican	JJ	forRepublican
presidential	JJ	presidential
candidate	NN	candidate
Donald	NP	Donald
Trump	NP	Trump
and	CC	and
those	DT	those
who	WP	who
voted	VVD	vote
for	IN	for
DemocratHillary	NP	DemocratHillary
Clinton	NP	Clinton
.	SENT	.
To	TO	To
a	DT	a
general	JJ	general
extent	NN	extent
,	,	,
but	CC	but
not	RB	not
exclusively	RB	exclusively
,	,	,
more	RBR	more
populous	JJ	populous
and	CC	and
more	RBR	more
diverse	JJ	diverse
areasof	NN	areasof
the	DT	the
country	NN	country
went	VVD	go
for	IN	for
Clinton	NP	Clinton
,	,	,
while	IN	while
more	JJR	more
rural	JJ	rural
areas	NNS	area
with	IN	with
less	JJR	less
diversepopulations	NNS	diversepopulations
voted	VVN	vote
for	IN	for
Trump	NP	Trump
.	SENT	.
Pundits	NNS	pundit
like	VVP	like
to	TO	to
generalize	VV	generalize
.	SENT	.
Better-educated	JJ	Better-educated
and	CC	and
white-collar	JJ	white-collar
people	NNS	people
voted	VVD	vote
forClinton	NN	forClinton
,	,	,
while	IN	while
less-educated	JJ	less-educated
and	CC	and
blue-collar	JJ	blue-collar
workers	NNS	worker
generally	RB	generally
voted	VVD	vote
for	IN	for
Trump	NP	Trump
.	SENT	.
Forward-thinking	JJ	forward-thinking
people	NNS	people
voted	VVD	vote
for	IN	for
Clinton	NP	Clinton
.	SENT	.
Angry	JJ	angry
people	NNS	people
voted	VVD	vote
for	IN	for
Trump	NP	Trump
,	,	,
theytheorize	NP	theytheorize
.	SENT	.
But	CC	but
few	JJ	few
seem	VVP	seem
to	TO	to
be	VB	be
considering	VVG	consider
another	DT	another
factor	NN	factor
that	WDT	that
's	VBZ	be
both	DT	both
cultural	JJ	cultural
and	CC	and
economic	JJ	economic
:	:	:
Call	VV	call
it	PP	it
the	DT	the
producers	NNS	producer
versus	IN	versus
the	DT	the
consumers	NNS	consumer
.	SENT	.
Looking	VVG	look
at	IN	at
the	DT	the
map	NN	map
of	IN	of
which	WDT	which
states	NNS	state
went	VVD	go
for	IN	for
which	WDT	which
candidate	NN	candidate
,	,	,
it	PP	it
is	VBZ	be
clear	JJ	clear
that	IN/that	that
,	,	,
generally	RB	generally
speaking	VVG	speak
(	(	(
with	IN	with
some	DT	some
exceptions	NNS	exception
)	)	)
,	,	,
more	JJR	more
populous	JJ	populous
areas	NNS	area
went	VVD	go
withClinton	NN	withClinton
.	SENT	.
The	DT	the
populations	NNS	population
of	IN	of
those	DT	those
states	NNS	state
,	,	,
it	PP	it
could	MD	could
be	VB	be
argued	VVN	argue
,	,	,
are	VBP	be
mostlyconsumers	NNS	mostlyconsumers
who	WP	who
have	VHP	have
little	JJ	little
connection	NN	connection
or	CC	or
understanding	JJ	understanding
to	TO	to
where	WRB	where
the	DT	the
food	NN	food
they	PP	they
eator	NN	eator
the	DT	the
energy	NN	energy
they	PP	they
burn	VVP	burn
comes	VVZ	come
from	IN	from
.	SENT	.
Yet	CC	yet
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
red	JJ	red
states	NNS	state
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
be	VB	be
the	DT	the
farmers	NNS	farmer
,	,	,
theranchers	NNS	theranchers
,	,	,
the	DT	the
growers	NNS	grower
-	:	-
or	CC	or
to	TO	to
be	VB	be
connected	VVN	connect
with	IN	with
someone	NN	someone
who	WP	who
is	VBZ	be
-	:	-
and	CC	and
have	VHP	have
betterunderstanding	JJ	betterunderstanding
of	IN	of
the	DT	the
time	NN	time
,	,	,
the	DT	the
effort	NN	effort
,	,	,
the	DT	the
care	NN	care
,	,	,
the	DT	the
expense	NN	expense
,	,	,
the	DT	the
danger	NN	danger
and	CC	and
thereward	RB	thereward
of	IN	of
producing	VVG	produce
food	NN	food
.	SENT	.
They	PP	they
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
innately	RB	innately
understand	VV	understand
that	DT	that
new	JJ	new
,	,	,
burdensome	JJ	burdensome
rules	NNS	rule
imposedby	NN	imposedby
a	DT	a
far-off	JJ	far-off
and	CC	and
disconnected	JJ	disconnected
government	NN	government
in	IN	in
Washington	NP	Washington
-	:	-
likely	RB	likely
staffed	VVN	staff
withpeople	NN	withpeople
who	WP	who
grew	VVD	grow
up	RP	up
in	IN	in
populated	JJ	populated
areas	NNS	area
and	CC	and
went	VVD	go
to	TO	to
the	DT	the
best	JJS	good
colleges	NNS	college
-	:	-
havelittle	JJ	havelittle
understanding	NN	understanding
for	IN	for
their	PP$	their
line	NN	line
of	IN	of
work	NN	work
.	SENT	.
The	DT	the
same	JJ	same
can	MD	can
be	VB	be
said	VVN	say
for	IN	for
energy	NN	energy
.	SENT	.
The	DT	the
people	NNS	people
in	IN	in
the	DT	the
red	JJ	red
states	NNS	state
are	VBP	be
more	RBR	more
likely	JJ	likely
tobe	NN	tobe
coal	NN	coal
miners	NNS	miner
,	,	,
oil	NN	oil
and	CC	and
gas	NN	gas
field	NN	field
workers	NNS	worker
,	,	,
tanker	NN	tanker
truck	NN	truck
drivers	NNS	driver
,	,	,
pipelineworkers	NNS	pipelineworkers
,	,	,
and	CC	and
others	NNS	other
who	WP	who
toil	VVP	toil
and	CC	and
sweat	VVP	sweat
in	IN	in
producing	VVG	produce
and	CC	and
delivering	VVG	deliver
mass	JJ	mass
volumesof	JJ	volumesof
energy	NN	energy
the	DT	the
consuming	NN	consuming
states	NNS	state
need	VVP	need
to	TO	to
power	VV	power
their	PP$	their
iPhones	NNS	iPhones
,	,	,
air	NN	air
conditioners	NNS	conditioner
andvehicles	NNS	andvehicles
.	SENT	.
They	PP	they
feel	VVP	feel
the	DT	the
burdens	NNS	burden
of	IN	of
new	JJ	new
regulation	NN	regulation
and	CC	and
higher	JJR	high
costs	NNS	cost
imposed	VVN	impose
by	IN	by
nonconnectedgovernment	NN	nonconnectedgovernment
bureaucrats	NNS	bureaucrat
and	CC	and
well-intentioned	JJ	well-intentioned
Democratic	JJ	Democratic
officials	NNS	official
.	SENT	.
While	IN	while
many	JJ	many
of	IN	of
this	DT	this
consuming	NN	consuming
class	NN	class
do	VVP	do
n't	RB	n't
understand	VV	understand
why	WRB	why
so	RB	so
many	JJ	many
Americans	NPS	Americans
wouldvote	NN	wouldvote
for	IN	for
the	DT	the
highly	RB	highly
flawed	JJ	flawed
and	CC	and
controversial	JJ	controversial
Trump	NP	Trump
,	,	,
so	RB	so
many	JJ	many
of	IN	of
the	DT	the
producingclass	NN	producingclass
do	VVP	do
n't	RB	n't
understand	VV	understand
why	WRB	why
the	DT	the
Democratic	NP	Democratic
Party	NP	Party
wants	VVZ	want
to	TO	to
keep	VV	keep
growing	VVG	grow
governmentand	NN	governmentand
keep	VV	keep
adding	VVG	add
rules	NNS	rule
to	TO	to
their	PP$	their
work	NN	work
.	SENT	.
The	DT	the
chasm	NN	chasm
of	IN	of
understanding	NN	understanding
between	IN	between
the	DT	the
producers	NNS	producer
and	CC	and
the	DT	the
consumers	NNS	consumer
wo	MD	wo
n't	RB	n't
lessenon	VV	lessenon
its	PP$	its
own	JJ	own
.	SENT	.
To	TO	To
promote	VV	promote
understanding	NN	understanding
among	IN	among
nations	NNS	nation
,	,	,
many	JJ	many
schools	NNS	school
anduniversities	NNS	anduniversities
exchange	NN	exchange
students	NNS	student
.	SENT	.
It	PP	it
's	VBZ	be
are	VBP	be
a	DT	a
great	JJ	great
way	NN	way
to	TO	to
increase	VV	increase
communicationand	NN	communicationand
build	VV	build
understanding	NN	understanding
among	IN	among
different	JJ	different
cultures	NNS	culture
.	SENT	.
Perhaps	RB	perhaps
its	PP$	its
time	NN	time
to	TO	to
consider	VV	consider
cultural	JJ	cultural
and	CC	and
economic	JJ	economic
exchange	NN	exchange
programs	NNS	program
in	IN	in
our	PP$	our
owncountry	NN	owncountry
-	:	-
sending	VVG	send
city	NN	city
folk	NN	folk
to	TO	to
the	DT	the
country	NN	country
and	CC	and
vice	JJ	vice
versa	RB	versa
-	:	-
to	TO	to
help	VV	help
us	PP	us
allbetter	RB	allbetter
understand	VVP	understand
the	DT	the
challenges	NNS	challenge
and	CC	and
issues	NNS	issue
differing	VVG	differ
people	NNS	people
face	VVP	face
.	SENT	.
