WASHINGTON	NP	WASHINGTON
--	:	--
Nearly	RB	nearly
three	CD	three
weeks	NNS	week
after	IN	after
Election	NP	Election
Day	NP	Day
,	,	,
Hillary	NP	Hillary
Clinton	NP	Clinton
's	POS	's
campaignsaid	NN	campaignsaid
on	IN	on
Saturday	NP	Saturday
that	IN/that	that
it	PP	it
would	MD	would
participate	VV	participate
in	IN	in
a	DT	a
recount	NN	recount
process	NN	process
in	IN	in
Wisconsinincited	NP	Wisconsinincited
by	IN	by
a	DT	a
third-party	JJ	third-party
candidate	NN	candidate
and	CC	and
would	MD	would
join	VV	join
any	DT	any
potential	JJ	potential
recounts	NNS	recount
in	IN	in
twoother	NN	twoother
closely	RB	closely
contested	VVN	contest
states	NNS	state
,	,	,
Pennsylvania	NP	Pennsylvania
and	CC	and
Michigan	NP	Michigan
.	SENT	.
The	DT	the
Clinton	NP	Clinton
campaign	NN	campaign
held	VVN	hold
out	IN	out
little	JJ	little
hope	NN	hope
of	IN	of
success	NN	success
in	IN	in
any	DT	any
of	IN	of
the	DT	the
three	CD	three
states	NNS	state
,	,	,
and	CC	and
said	VVD	say
it	PP	it
had	VHD	have
seen	VVN	see
no	UH	no
'	''	'
'	''	'
actionable	JJ	actionable
evidence	NN	evidence
'	POS	'
'	''	'
of	IN	of
vote	NN	vote
hacking	NN	hacking
that	WDT	that
might	MD	might
taintthe	VV	taintthe
results	NNS	result
or	CC	or
otherwise	RB	otherwise
provide	VV	provide
new	JJ	new
grounds	NNS	ground
for	IN	for
challenging	VVG	challenge
Donald	NP	Donald
J.	NP	J.
Trump'svictory	NP	Trump'svictory
.	SENT	.
But	CC	but
it	PP	it
suggested	VVD	suggest
it	PP	it
was	VBD	be
going	VVG	go
along	RP	along
with	IN	with
the	DT	the
recount	NN	recount
effort	NN	effort
to	TO	to
assuresupporters	NNS	assuresupporters
that	IN/that	that
it	PP	it
was	VBD	be
doing	VVG	do
everything	NN	everything
possible	JJ	possible
to	TO	to
verify	VV	verify
that	DT	that
hacking	JJ	hacking
byRussia	NN	byRussia
or	CC	or
other	JJ	other
irregularities	NNS	irregularity
had	VHD	have
not	RB	not
affected	VVN	affect
the	DT	the
results	NNS	result
.	SENT	.
In	IN	in
a	DT	a
post	NN	post
on	IN	on
Medium	NP	Medium
,	,	,
Marc	NP	Marc
Elias	NP	Elias
,	,	,
the	DT	the
Clinton	NP	Clinton
team	NN	team
's	POS	's
general	JJ	general
counsel	NN	counsel
,	,	,
said	VVD	say
thecampaign	NNS	thecampaign
would	MD	would
take	VV	take
part	NN	part
in	IN	in
the	DT	the
Wisconsin	NP	Wisconsin
recount	NN	recount
being	VBG	be
set	VVN	set
off	RP	off
by	IN	by
Jill	NP	Jill
Stein	NP	Stein
,	,	,
the	DT	the
Green	NP	Green
Party	NP	Party
candidate	NN	candidate
,	,	,
and	CC	and
would	MD	would
also	RB	also
participate	VV	participate
if	IN	if
Ms.	NP	Ms.
Stein	NP	Stein
made	VVD	make
good	JJ	good
onher	NN	onher
plans	VVZ	plan
to	TO	to
seek	VV	seek
recounts	NNS	recount
in	IN	in
Michigan	NP	Michigan
and	CC	and
Pennsylvania	NP	Pennsylvania
.	SENT	.
Mrs.	NP	Mrs.
Clinton	NP	Clinton
lost	VVD	lose
thosethree	NN	thosethree
states	NNS	state
by	IN	by
a	DT	a
total	NN	total
of	IN	of
little	RB	little
more	JJR	more
than	IN	than
100,000	CD	@card@
votes	NNS	vote
,	,	,
sealing	VVG	seal
her	PP$	her
ElectoralCollege	NP	ElectoralCollege
defeat	NN	defeat
by	IN	by
Mr.	NP	Mr.
Trump	NP	Trump
.	SENT	.
The	DT	the
Clinton	NP	Clinton
campaign	NN	campaign
had	VHD	have
assailed	VVN	assail
Mr.	NP	Mr.
Trump	NP	Trump
during	IN	during
the	DT	the
election	NN	election
for	IN	for
refusing	VVG	refuse
tosay	NN	tosay
he	PP	he
would	MD	would
abide	VV	abide
by	IN	by
the	DT	the
results	NNS	result
if	IN	if
he	PP	he
lost	VVD	lose
.	SENT	.
On	IN	on
Saturday	NP	Saturday
,	,	,
Mr.	NP	Mr.
Trump	NP	Trump
respondedto	NP	respondedto
the	DT	the
campaign	NN	campaign
's	POS	's
decision	NN	decision
to	TO	to
join	VV	join
the	DT	the
recount	NN	recount
with	IN	with
a	DT	a
statement	NN	statement
calling	VVG	call
theeffort	NP	theeffort
'	POS	'
'	''	'
ridiculous	JJ	ridiculous
