Earlier	RBR	earlier
this	DT	this
year	NN	year
,	,	,
as	IN	as
many	JJ	many
Americans	NPS	Americans
found	VVD	find
the	DT	the
leading	VVG	lead
presidential	JJ	presidential
contendersunpalatable	NN	contendersunpalatable
,	,	,
some	DT	some
conservatives	NNS	conservative
enthusiastically	RB	enthusiastically
urged	VVD	urge
retired	VVN	retire
Gen.	NP	Gen.
JamesMattis	NP	JamesMattis
,	,	,
who	WP	who
has	VHZ	have
a	DT	a
cult	NN	cult
following	VVG	follow
in	IN	in
military	JJ	military
circles	NNS	circle
,	,	,
to	TO	to
jump	VV	jump
in	IN	in
as	IN	as
a	DT	a
darkhorse	NN	darkhorse
.	SENT	.
He	PP	he
shot	VVD	shoot
down	RP	down
that	DT	that
idea	NN	idea
in	IN	in
April	NP	April
,	,	,
seeming	VVG	seem
perplexed	VVN	perplex
.	SENT	.
Now	RB	now
it	PP	it
appears	VVZ	appear
likelythat	RB	likelythat
he	PP	he
'll	MD	will
have	VH	have
a	DT	a
second	JJ	second
act	NN	act
,	,	,
as	IN	as
President-elect	NP	President-elect
Trump	NP	Trump
's	POS	's
secretary	NN	secretary
of	IN	of
defense	NN	defense
.	SENT	.
If	IN	if
confirmed	VVN	confirm
,	,	,
General	NP	General
Mattis	NP	Mattis
could	MD	could
bring	VV	bring
a	DT	a
voice	NN	voice
of	IN	of
reason	NN	reason
to	TO	to
a	DT	a
White	NP	White
House	NN	house
thatwill	NN	thatwill
be	VB	be
led	VVN	lead
by	IN	by
a	DT	a
dangerously	RB	dangerously
ignorant	JJ	ignorant
president	NN	president
who	WP	who
has	VHZ	have
so	RB	so
far	RB	far
shown	VVN	show
too	RB	too
littleinterest	JJ	littleinterest
in	IN	in
opposing	VVG	oppose
views	NNS	view
.	SENT	.
General	NP	General
Mattis	NP	Mattis
would	MD	would
come	VV	come
into	IN	into
the	DT	the
job	NN	job
having	VHG	have
stakedout	NN	stakedout
positions	NNS	position
that	WDT	that
are	VBP	be
at	IN	at
odds	NNS	odd
with	IN	with
those	DT	those
Mr.	NP	Mr.
Trump	NP	Trump
embraced	VVD	embrace
in	IN	in
his	PP$	his
campaign	NN	campaign
--	:	--
for	IN	for
instance	NN	instance
,	,	,
on	IN	on
the	DT	the
use	NN	use
of	IN	of
torture	NN	torture
and	CC	and
on	IN	on
the	DT	the
Iran	NP	Iran
nuclear	JJ	nuclear
deal	NN	deal
.	SENT	.
(	(	(
The	DT	the
generalis	NN	generalis
opposed	VVD	oppose
to	TO	to
the	DT	the
former	JJ	former
and	CC	and
favors	VVZ	favor
preserving	VVG	preserve
the	DT	the
latter	NN	latter
.	SENT	.
)General	NP	)General
Mattis	NP	Mattis
,	,	,
who	WP	who
rose	VVD	rise
through	IN	through
the	DT	the
ranks	NNS	rank
of	IN	of
the	DT	the
Marines	NPS	Marines
and	CC	and
retired	VVD	retire
in	IN	in
2013after	JJ	2013after
running	VVG	run
the	DT	the
United	NP	United
States	NPS	States
Central	NP	Central
Command	NP	Command
,	,	,
or	CC	or
Centcom	NP	Centcom
,	,	,
has	VHZ	have
seen	VVN	see
the	DT	the
valueof	JJ	valueof
America	NP	America
's	POS	's
alliances	NNS	alliance
abroad	RB	abroad
and	CC	and
has	VHZ	have
a	DT	a
deep	JJ	deep
understanding	NN	understanding
of	IN	of
foreign	JJ	foreign
policy	NN	policy
andconflict	NN	andconflict
zones	NNS	zone
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
During	IN	during
a	DT	a
hearing	NN	hearing
before	IN	before
Congress	NP	Congress
early	JJ	early
lastyear	NN	lastyear
about	IN	about
national	JJ	national
security	NN	security
challenges	NNS	challenge
,	,	,
he	PP	he
outlined	VVD	outline
a	DT	a
vision	NN	vision
of	IN	of
Americanleadership	NN	Americanleadership
that	WDT	that
is	VBZ	be
starkly	RB	starkly
at	IN	at
odds	NNS	odd
with	IN	with
Mr.	NP	Mr.
Trump	NP	Trump
's	POS	's
argument	NN	argument
that	IN/that	that
the	DT	the
UnitedStates	NNS	UnitedStates
must	MD	must
look	VV	look
inward	RB	inward
and	CC	and
reconsider	VV	reconsider
the	DT	the
merit	NN	merit
of	IN	of
military	JJ	military
and	CC	and
diplomaticalliances	NNS	diplomaticalliances
.	SENT	.
'	''	'
'	''	'
The	DT	the
international	JJ	international
order	NN	order
,	,	,
'	''	'
'	''	'
General	NP	General
Mattis	NP	Mattis
told	VVD	tell
lawmakers	NNS	lawmaker
,	,	,
'	''	'
'	''	'
demands	NNS	demand
tending	VVG	tend
byan	NP	Byan
America	NP	America
that	WDT	that
leads	VVZ	lead
wisely	RB	wisely
,	,	,
standing	VVG	stand
unapologetically	RB	unapologetically
for	IN	for
the	DT	the
freedoms	NNS	freedom
each	DT	each
ofus	NN	ofus
in	IN	in
this	DT	this
room	NN	room
have	VHP	have
enjoyed	VVN	enjoy
.	SENT	.
'	''	'
'	''	'
To	TO	To
take	VV	take
the	DT	the
reins	NNS	rein
of	IN	of
the	DT	the
Pentagon	NP	Pentagon
,	,	,
General	NP	General
Mattis	NP	Mattis
would	MD	would
need	VV	need
a	DT	a
waiver	NN	waiver
fromCongress	NN	fromCongress
to	TO	to
exempt	VV	exempt
him	PP	him
from	IN	from
the	DT	the
law	NN	law
that	IN/that	that
bars	NNS	bar
retired	VVD	retire
military	JJ	military
officers	NNS	officer
fromtaking	VVG	fromtaking
a	DT	a
senior	JJ	senior
position	NN	position
in	IN	in
the	DT	the
defense	NN	defense
department	NN	department
within	IN	within
seven	CD	seven
years	NNS	year
of	IN	of
leavingthe	JJ	leavingthe
service	NN	service
.	SENT	.
Senator	NP	Senator
Kirsten	NP	Kirsten
Gillibrand	NP	Gillibrand
of	IN	of
New	NP	New
York	NP	York
said	VVD	say
on	IN	on
Thursday	NP	Thursday
that	IN/that	that
shewould	NNS	shewould
oppose	VVP	oppose
granting	VVG	grant
him	PP	him
a	DT	a
waiver	NN	waiver
,	,	,
calling	VVG	call
civilian	JJ	civilian
control	NN	control
of	IN	of
the	DT	the
military	NN	military
'	POS	'
'	''	'
afundamental	JJ	afundamental
principle	NN	principle
of	IN	of
American	JJ	American
democracy	NN	democracy
.	SENT	.
'	''	'
'	''	'
That	DT	that
law	NN	law
is	VBZ	be
important	JJ	important
in	IN	in
keeping	VVG	keep
clear	JJ	clear
the	DT	the
separation	NN	separation
between	IN	between
national	JJ	national
securitypolicy	NN	securitypolicy
making	NN	making
and	CC	and
execution	NN	execution
.	SENT	.
General	NP	General
Mattis	NP	Mattis
and	CC	and
Mr.	NP	Mr.
Trump	NP	Trump
should	MD	should
be	VB	be
prepared	VVN	prepare
toexplain	RB	toexplain
persuasively	RB	persuasively
why	WRB	why
he	PP	he
warrants	VVZ	warrant
an	DT	an
exemption	NN	exemption
.	SENT	.
Beyond	IN	beyond
that	DT	that
question	NN	question
,	,	,
he	PP	he
has	VHZ	have
a	DT	a
long	JJ	long
record	NN	record
worth	NN	worth
examining	VVG	examine
.	SENT	.
Last	JJ	last
year	NN	year
,	,	,
forinstance	NN	forinstance
,	,	,
he	PP	he
criticized	VVD	criticize
the	DT	the
Obama	NP	Obama
administration	NN	administration
's	POS	's
release	NN	release
of	IN	of
Guantánamodetainees	NP	Guantánamodetainees
,	,	,
arguing	VVG	argue
that	DT	that
'	''	'
'	''	'
if	IN	if
taken	VVN	take
prisoner	NN	prisoner
,	,	,
you	PP	you
'll	MD	will
be	VB	be
prisoner	NN	prisoner
until	IN	until
the	DT	the
war	NN	war
isover	NN	isover
.	SENT	.
'	''	'
'	''	'
How	WRB	How
can	MD	can
he	PP	he
justify	VV	justify
that	DT	that
position	NN	position
?	SENT	?
The	DT	the
offshore	JJ	offshore
prison	NN	prison
,	,	,
in	IN	in
whichgovernment	NN	whichgovernment
actions	NNS	action
subverted	VVD	subvert
the	DT	the
Constitution	NP	Constitution
and	CC	and
violated	VVD	violate
international	JJ	international
law	NN	law
,	,	,
has	VHZ	have
made	VVN	make
the	DT	the
United	NP	United
States	NPS	States
less	RBR	less
safe	JJ	safe
.	SENT	.
Another	DT	another
question	NN	question
is	VBZ	be
whether	IN	whether
General	NP	General
Mattis	NP	Mattis
intends	VVZ	intend
to	TO	to
roll	VV	roll
back	RB	back
militarypersonnel	JJ	militarypersonnel
policy	NN	policy
changes	NNS	change
adopted	VVN	adopt
during	IN	during
the	DT	the
Obama	NP	Obama
administration	NN	administration
,	,	,
includingopening	VVG	includingopening
all	DT	all
combat	NN	combat
roles	NNS	role
to	TO	to
women	NNS	woman
,	,	,
allowing	VVG	allow
openly	RB	openly
gay	JJ	gay
troops	NNS	troop
to	TO	to
serve	VV	serve
andaccommodating	JJ	andaccommodating
transgender	NN	transgender
troops	NNS	troop
.	SENT	.
A	DT	a
book	NN	book
for	IN	for
which	WDT	which
he	PP	he
was	VBD	be
a	DT	a
co-editor	NN	co-editor
this	DT	this
yearsuggested	NN	yearsuggested
a	DT	a
disturbing	JJ	disturbing
resistance	NN	resistance
to	TO	to
having	VHG	have
the	DT	the
best	RBS	well
qualified	JJ	qualified
Americans	NPS	Americans
in	IN	in
theservices	NNS	theservices
,	,	,
regardless	RB	regardless
of	IN	of
gender	NN	gender
,	,	,
sexual	JJ	sexual
orientation	NN	orientation
or	CC	or
gender	NN	gender
identity	NN	identity
.	SENT	.
'	''	'
'	''	'
We	PP	we
fearthat	RB	fearthat
an	DT	an
uninformed	JJ	uninformed
public	NN	public
is	VBZ	be
permitting	VVG	permit
political	JJ	political
leaders	NNS	leader
to	TO	to
impose	VV	impose
an	DT	an
accretionof	JJ	accretionof
social	JJ	social
conventions	NNS	convention
that	WDT	that
are	VBP	be
diminishing	VVG	diminish
the	DT	the
combat	NN	combat
power	NN	power
of	IN	of
our	PP$	our
military	JJ	military
,	,	,
'	''	'
'	''	'
the	DT	the
book	NN	book
says	VVZ	say
.	SENT	.
That	DT	that
is	VBZ	be
a	DT	a
groundless	JJ	groundless
claim	NN	claim
.	SENT	.
America	NP	America
's	POS	's
military	NN	military
has	VHZ	have
always	RB	always
grownstronger	NN	grownstronger
when	WRB	when
barriers	NNS	barrier
to	TO	to
inclusion	NN	inclusion
have	VHP	have
been	VBN	be
dismantled	VVN	dismantle
.	SENT	.
While	IN	while
General	NP	General
Mattis	NP	Mattis
will	MD	will
face	VV	face
tough	JJ	tough
questions	NNS	question
from	IN	from
Congress	NP	Congress
,	,	,
he	PP	he
may	MD	may
be	VB	be
wellequipped	VVN	wellequipped
to	TO	to
ask	VV	ask
a	DT	a
few	JJ	few
of	IN	of
his	PP$	his
own	JJ	own
.	SENT	.
He	PP	he
has	VHZ	have
been	VBN	be
a	DT	a
critic	NN	critic
of	IN	of
the	DT	the
way	NN	way
Congress	NP	Congress
hashandled	VVD	hashandled
the	DT	the
military	JJ	military
budget	NN	budget
,	,	,
and	CC	and
as	IN	as
a	DT	a
fiscal	JJ	fiscal
conservative	NN	conservative
,	,	,
he	PP	he
has	VHZ	have
called	VVN	call
thenational	JJ	thenational
debt	NN	debt
a	DT	a
long-term	JJ	long-term
security	NN	security
challenge	NN	challenge
.	SENT	.
Earlier	RBR	earlier
this	DT	this
year	NN	year
,	,	,
he	PP	he
rightlyquestioned	VVD	rightlyquestioned
the	DT	the
failure	NN	failure
of	IN	of
members	NNS	member
of	IN	of
Congress	NP	Congress
to	TO	to
formally	RB	formally
authorize	VV	authorize
the	DT	the
use	NN	use
ofmilitary	NN	ofmilitary
force	NN	force
in	IN	in
the	DT	the
fight	NN	fight
against	IN	against
the	DT	the
Islamic	JJ	Islamic
State	NN	state
.	SENT	.
'	''	'
'	''	'
They	PP	they
appear	VVP	appear
to	TO	to
be	VB	be
morewilling	JJ	morewilling
to	TO	to
sit	VV	sit
outside	RB	outside
and	CC	and
criticize	VV	criticize
the	DT	the
president	NN	president
than	IN	than
to	TO	to
put	VV	put
themselves	PP	themselves
on	IN	on
theline	NN	theline
and	CC	and
say	VVP	say
here	RB	here
's	VBZ	be
where	WRB	where
we	PP	we
stand	VVP	stand
,	,	,
'	''	'
'	''	'
he	PP	he
said	VVD	say
.	SENT	.
Lawmakers	NNS	Lawmaker
would	MD	would
benefit	VV	benefit
from	IN	from
his	PP$	his
propensity	NN	propensity
to	TO	to
speak	VV	speak
his	PP$	his
mind	NN	mind
.	SENT	.
So	RB	so
would	MD	would
thepresident	JJ	thepresident
.	SENT	.
Follow	VV	follow
The	DT	the
New	NP	New
York	NP	York
Times	NP	Times
Opinion	NP	Opinion
section	NN	section
on	IN	on
Facebook	NP	Facebook
and	CC	and
Twitter	NP	Twitter
(	(	(
@NYTopinion	NN	@NYTopinion
)	)	)
,	,	,
and	CC	and
sign	VV	sign
up	RP	up
for	IN	for
the	DT	the
Opinion	NP	Opinion
Today	NN	today
newsletter	NN	newsletter
.	SENT	.
URL	NN	URL
:	:	:
http	NN	http
:	:	:
//www	NN	//www
.	SENT	.
nytimes	NNS	nytimes
.	SENT	.
com/2016/12/02/opinion/an-experienced-leader-for-the-pentagon	NN	com/2016/12/02/opinion/an-experienced-leader-for-the-pentagon
.	SENT	.
html	NN	html
